NP_type,Coating,core_size_nm,Surf_charge_mV,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,Viability
QDs,TGA,11.7,-30.0,,0.0,12.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,ApoTox­Glo_Triplex,Caspase_Glo,quantum_dots,55.1
CdSe,None,3.01,,,10.47,24.0,VERO,Monkey,Kidney,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,34.0
CdSe,None,2.0,,,25.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,Live/Dead,,quantum_dots,62.0
CdSe,CPP,3.01,,,0.2,3.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,92.0
CdSeS,None,6.0,,,0.0,72.0,R-Subcapitata,Microalgae,Somatic Cell-hybrid,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,95.31
CdTe,None,3.4,,,10.22,4.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,16.0
CdS,None,5.0,,,0.5,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,5.33
CdS,None,7.0,,,0.01,72.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,94.5
CdSe,None,4.0,,,6.75,24.0,ArakiSasaki,Human,Eye,Epithelial,Adult,Normal,female,SRB,resazurin/sulforhodamine_B,quantum_dots,57.89
CdTe,None,2.64,,,0.29,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0.0
CdSe,Aptamer_based,3.0,,,5.0,24.0,A2780,Human,Ovary,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,96.88
CdSe,PULsin,4.0,,,0.3,1.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,MTS,TetrazoliumSalt,quantum_dots,50.0
CdSe,RME,4.3,,,0.01,24.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,79.41
CdSeTe,None,4.3,,,0.04,2.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,107.0
CdSe,Hydroxyapatite,4.6,,,3.3,1.0,MC3T3-E1,Mouse,Bone,Preosteoblast,neonate,Normal,,Others,,quantum_dots,76.8
CdSe,None,4.5,,,0.16,24.0,A375,Human,Skin,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,29.41
CdSe,Trp_based,4.5,,,1.28,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,50.0
CdTe,None,2.2,,,38.75,4.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,60.0
CdSe,None,5.5,,,0.1,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,124.0
CdSe,None,4.5,,,1.25,4.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,60.0
CdTe,None,3.6,,,0.02,96.0,Hydra,Hydra,Polyp,Stem-cell,Stem,,,APO_BrdU_TUNEL,BrdUTP,quantum_dots,83.33
CdSe,None,5.4,,,0.1,24.0,MDCK,Dog,Kidney,Epithelial,Adult,Normal,female,ECIS,Impedance,quantum_dots,103.03
CdTe,Folic_acid_based,6.0,,,0.0,8.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,94.0
CdTe,Antibiotics,5.06,,,0.21,24.0,HK-2,Human,Kidney,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,80.95
CdSe,None,9.0,,,0.2,72.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,MTS,TetrazoliumSalt,quantum_dots,98.0
CdTe,None,2.2,,,0.71,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,FACS,fluorescent,quantum_dots,64.15
QD,PEI,26.7,29.8,Sphere,,24.0,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,MTT,TetrazoliumSalt,quantum_dots,58.59
CdSe,None,6.3,,,0.02,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,21.5
CdTe,Aptamer_based,5.5,,,0.79,4.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,31.52
CdTe,None,6.2,,,0.0,20.0,B-LCL,Human,Blood,Monocyte,neonate,cancer,,Colonigenic-assay,CrystalViolet,quantum_dots,2.5
CdSe,None,5.0,,,0.11,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,16.25
CdS,None,3.1,,,0.1,72.0,SAOS,Human,Bone,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,72.73
CdSeTe,HSV_TK_based,12.0,,,0.01,96.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,58.7
CdSe,CPP,4.0,,,0.2,24.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,67.24
CdSe,Biotin_based,3.0,,,10.35,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,83.0
CdTe,None,3.4,,,10.22,4.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,54.0
CdSe,None,9.0,,,0.02,24.0,primary,Cow,Skin,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,108.0
CdSe,None,6.7,,,0.16,24.0,AM,Mouse,Alveolar,Alveolar-Macrophage,Adult,Normal,,LDH,LDHrelease,quantum_dots,66.8
CdSe,None,7.0,,,1.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,100.0
CdSe,D_penicillamine_based,5.4,,,0.1,24.0,MDCK,Dog,Kidney,Epithelial,Adult,Normal,female,MTS,TetrazoliumSalt,quantum_dots,72.73
CdTe,None,5.0,,,0.05,6.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,26.47
CdTe,Lysozyme,2.3,,,0.96,48.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,52.94
CdTe,Polylysine,6.2,,,0.01,20.0,B-LCL,Human,Blood,Monocyte,neonate,cancer,,Colonigenic-assay,CrystalViolet,quantum_dots,61.0
CdSe,SA_based,5.5,,,0.04,60.0,BNL1-ME-A.7R.1-(MEAR),Mouse,Liver,Epithelial,,Normal,,MTT,TetrazoliumSalt,quantum_dots,94.12
CdSe,CPP,4.3,,,0.1,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,100.0
CdSe,None,2.9,,,1.2,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,113.33
QDs,Cystein_based,5.4,,,0.5,24.0,SVEC4­10,Mouse,axillary lymph node,Endothelial,Adult,Normal,male,MTS,TetrazoliumSalt,quantum_dots,24.04
CdSe,None,4.0,,,0.2,24.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,49.56
CdTe,None,5.8,,,2.66,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,44.44
CdSeTe,HSV_TK_based,12.0,,,0.01,48.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,97.83
CdSe,None,9.2,,,0.01,4.0,S-Cerevisiae,Yeast,Microorganism,Somatic,,Normal,,LDH,LDHrelease,quantum_dots,85.71
CdTe,None,3.0,,,0.5,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,SRB,resazurin/sulforhodamine_B,quantum_dots,11.39
CdTe,BSA,3.0,,,7.21,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,91.03
CdSe,Lipofectamine,9.0,,,0.0,48.0,ASCs,Mouse,Adipose-tissue,Stem-cell,Stem,Normal,,WST-1,TetrazoliumSalt,quantum_dots,6.52
CdSe,None,5.5,,,0.16,24.0,A375,Human,Skin,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,10.81
CdSe,None,4.0,,,0.2,1.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTS,TetrazoliumSalt,quantum_dots,78.0
CdSeTe,HSV_TK_based,12.0,,,0.01,72.0,BEL,Human,Liver,Hepatocyte,Adult,cancer,,MTT,TetrazoliumSalt,quantum_dots,73.33
CdTe,Transferrin_based,3.0,,,0.2,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,93.85
CdSe,None,5.5,,,0.02,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,73.0
CdTe,None,2.2,,,12.2,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,MTT,TetrazoliumSalt,quantum_dots,9.0
CdSe,None,9.0,,,0.01,24.0,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,MTT,TetrazoliumSalt,quantum_dots,50.75
CdSe,CPP,4.0,,,0.2,1.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,91.22
CdSe,Cystein_based,,,,0.02,96.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,54.22
CdTe,Gelatin_based,5.0,,,5.58,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,30.0
CdSe,None,3.7,,,0.5,4.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,41.1
CdTe,None,2.5,,,100.0,24.0,MG­63,Human,Bone,Fibroblast,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,23.0
CdSe,None,9.0,,,0.4,24.0,HLEC,Human,Lymph,Epithelial,,Normal,,Live/Dead,,quantum_dots,89.0
CdSe,His_based,4.3,,,0.02,24.0,OUS-11,Human,Lung,Fibroblast,Adult,Normal,male,WST-1,TetrazoliumSalt,quantum_dots,95.0
CdSe,None,5.5,,,0.42,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,20.0
CdTe,None,2.69,,,0.28,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,9.0
CdTe,sodium_based,3.5,,,1.01,12.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,Live/Dead,,quantum_dots,79.96
CdSe,None,2.93,,,9.04,100.0,T-Thermophila-BF5,Protozoa,Microorganism,Somatic,,Normal,,Others,,quantum_dots,19.4
CdSe,None,4.6,,,0.02,48.0,primary,Cow,Skin,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,68.0
QDs,COOH,10.0,,,0.0,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,Live/Dead,CalceinAM,quantum_dots,92.4
CdTe,Cystein_based,3.3,,,0.23,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,68.97
CdSeTe,HSV_TK_based,12.0,,,0.01,48.0,HL-7702,Human,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,100.0
CdSe,None,5.0,,,0.55,24.0,Myoblast,Rabbit,Muscle,Myoblast,,Normal,,MTT,TetrazoliumSalt,quantum_dots,83.2
CdSe,gum_arabic,3.86,,,0.0,24.0,BALB_c3T3,Mouse,Embryo,Fibroblast,,cancer,,Live/Dead,,quantum_dots,1.0
CdSe,None,6.7,,,0.32,4.0,Erythrocyte,Rabbit,Blood,Erythrocyte,,Normal,,Hemolysis,,quantum_dots,81.0
CdSe,FGF,7.3,,,0.01,96.0,hAM-dMSCs,Human,Amniotic-membrane,Stem-cell,Stem,Normal,,MTT,TetrazoliumSalt,quantum_dots,0.0
CdSe,None,5.0,,,0.57,72.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,0.0
CdSe,None,3.8,,,0.05,5.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,55.0
CdTe,FuGENE-HD,7.0,,,2.0,24.0,NRM,Rat,Heart,Myocardiocytes,,Normal,male,MTT,TetrazoliumSalt,quantum_dots,86.82
CdSe,CPP,4.0,,,0.2,24.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,70.5
CdSe,None,7.9,,,0.1,24.0,ECV304,Human,Bladder,Endothelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,134.29
CdTe,None,5.0,,,0.01,6.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,76.19
CdTe,None,4.3,,,0.28,24.0,HCCLM6,Human,Liver,Hepatocyte,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,50.0
CdTe,None,5.8,,,2.66,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,MTT,TetrazoliumSalt,quantum_dots,31.58
CdSe,None,3.3,,,0.19,1.0,HL-60,Human,Blood,Myeloid,Adult,cancer,female,FACS,fluorescent,quantum_dots,91.95
CdTe,None,2.64,,,7.35,48.0,Hepatocyte,Fish,Liver,Hepatocyte,fetus,Normal,male,FDA,,quantum_dots,69.52
CdSe,None,7.0,,,0.02,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,49.0
CdSe,nucleic_acids,6.0,,,0.1,12.0,MDA­MB­231,Human,Breast,Epithelial,Adult,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,85.92
CdTe,None,4.0,,,0.08,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,XTT,TetrazoliumSalt,quantum_dots,64.71
CdSe,None,5.0,,,0.02,2.0,Neuron,Mouse,Cortex,Neural,Adult,Normal,,Live/Dead,,quantum_dots,99.0
CdSe,None,3.2,,,5.0,48.0,Jurkat,Human,Blood,Lymphoblast,Adult,cancer,male,FACS,fluorescent,quantum_dots,101.0
CdS,Cystein_based,18.0,,,0.11,24.0,VERO,Monkey,Kidney,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,23.53
CdTe,Folic_acid_based,6.0,,,0.0,4.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,96.0
CdSeS,None,6.0,,,0.54,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,45.12
CdSe,None,9.0,,,0.02,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,96.55
CdSe,None,5.5,,,0.31,12.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,54.5
CdSe,None,8.3,,,0.02,24.0,HDF,Human,Skin,Fibroblast,Adult,Normal,,Live/Dead,,quantum_dots,1.9
CdSeTe,HSV_TK_based,12.0,,,0.01,96.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,61.96
CdSe,None,6.0,,,0.65,72.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,56.6
CdSe,Antibody_based,4.6,,,0.1,1.0,SKOV­3,Human,Ovary,Epithelial,Young,cancer,female,MTT,TetrazoliumSalt,quantum_dots,75.0
CdSe,His_based,4.9,,,1.02,48.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,MTT,TetrazoliumSalt,quantum_dots,45.35
CdSeTe,None,4.9,,,23.55,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,66.0
CdSe,None,5.0,,,0.08,48.0,IMR90,Human,Lung,Fibroblast,neonate,Normal,female,Others,,quantum_dots,97.0
CdSe,None,4.0,,,0.01,8.0,HSF-42,Human,Skin,Fibroblast,,,,Trypan_Blue,Trypan_Blue,quantum_dots,97.0
CdSe,None,9.0,,,0.0,4.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,79.9
CdS,None,4.0,,,0.52,24.0,RTG-2,Fish,Gonad,Fibroblast,,Normal,,XTT,TetrazoliumSalt,quantum_dots,0.0
CdTe,None,5.3,,,0.02,24.0,HL-7702,Human,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,75.29
CdTe,None,3.4,,,3.0,24.0,Zebrafish,Fish,Liver,Epithelial,,Normal,,MTT,TetrazoliumSalt,quantum_dots,4.84
CdSe,None,9.5,,,0.02,5.0,MDA­MB­231,Human,Breast,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,85.0
CdSe,Serum_based,5.0,,,0.02,24.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,Colonigenic-assay,CrystalViolet,quantum_dots,96.15
CdSe,None,11.2,,,0.02,120.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,32.0
CdTe,None,5.0,,,0.05,6.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,25.29
CdSe,None,4.0,,,0.1,48.0,MDA­MB­231,Human,Breast,Epithelial,Adult,cancer,female,Colonigenic-assay,CrystalViolet,quantum_dots,89.8
CdTe,None,4.5,,,0.3,24.0,Cal27,Human,Tongue,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,51.2
CdSe,None,5.0,,,0.01,12.0,SW1990,Human,Pancreas,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,80.0
CdTe,None,2.69,,,0.56,10.0,PANC-1,Human,Pancreas,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,28.0
CdSe,None,5.45,,,0.04,24.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTT,TetrazoliumSalt,quantum_dots,68.18
QDs,Gelatin_based,14.3,-29.0,,0.0,17.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,ApoTox­Glo_Triplex,Caspase_Glo,quantum_dots,98.72
CdSe,None,9.2,,,0.02,168.0,ABMCs,Pig,BoneMarrow,Stem-cell,Stem,,,MTT,TetrazoliumSalt,quantum_dots,88.0
CdTe,Autophagy-Inhibitor,4.2,,,0.04,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,induction-of-autophagy,,quantum_dots,61.0
CdTe,None,4.0,,,53.0,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,50.0
CdSe,None,7.5,,,0.15,4.0,SK­BR­3,Human,Breast,Epithelial,Adult,cancer,female,Live/Dead,,quantum_dots,70.0
CdTe,None,2.5,,,100.0,24.0,MG­63,Human,Bone,Fibroblast,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,95.95
CdSe,His_based,4.3,,,0.02,24.0,PC3,Human,Prostate,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,90.0
CdSe,None,4.0,,,6.75,24.0,ArakiSasaki,Human,Eye,Epithelial,Adult,Normal,female,SRB,resazurin/sulforhodamine_B,quantum_dots,100.0
CdSe,None,8.3,,,0.02,1.0,HDF,Human,Skin,Fibroblast,Adult,Normal,,Live/Dead,,quantum_dots,85.7
CdSe,None,4.5,,,0.5,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,Live/Dead,,quantum_dots,96.0
CdSe,None,4.8,,,0.87,24.0,CHO_K1,Hamster,Ovary,Epithelial,Adult,Normal,female,XTT,TetrazoliumSalt,quantum_dots,85.0
CdS,None,4.5,,,1.45,96.0,Hepatocyte,Rat,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,84.34
CdTe,None,3.2,,,0.02,48.0,P-tricornutum,Microalgae,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,92.0
CdSe,None,9.0,,,0.01,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,96.6
CdS,None,4.5,,,7.25,24.0,Glia,Human,Brain,Neural,,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,3.0
CdTe,None,8.0,,,1.5,48.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,74.0
CdSe,None,5.0,,,0.1,24.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,22.5
CdS,None,4.5,,,1.45,72.0,Hepatocyte,Rat,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,94.19
CdSe,None,5.0,,,0.01,24.0,HSF-42,Human,Skin,Fibroblast,,,,Trypan_Blue,Trypan_Blue,quantum_dots,91.0
CdSe,None,3.5,,,0.4,2.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,67.8
CdTe,None,2.9,,,0.1,12.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,31.86
QDs,None,25.0,,,0.1,24.0,SK­BR­3,Human,Breast,Epithelial,Adult,cancer,female,Live/Dead,CalceinAM,quantum_dots,15.9
CdSeTe,Camptothecin,12.0,,,0.01,24.0,B16,Mouse,Skin,Epithelial,,cancer,,MTT,TetrazoliumSalt,quantum_dots,43.33
CdTe,None,3.68,,,0.33,8.0,MammalianLeukocytes,Rat,Blood,Leukocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,81.0
CdSe,Poloxamer,7.7,,,0.03,48.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,49.81
CdSe,None,4.0,,,0.08,2.0,HSF-42,Human,Skin,Fibroblast,,,,Trypan_Blue,Trypan_Blue,quantum_dots,100.0
CdSe,None,9.2,,,0.01,2.0,S-Cerevisiae,Yeast,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,85.71
CdSe,None,5.0,,,0.01,8.0,HSF-42,Human,Skin,Fibroblast,,,,MTT,TetrazoliumSalt,quantum_dots,85.0
CdSe,His_based,4.3,,,0.02,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,107.0
CdSe,BSA,4.6,,,1.0,1.0,KC,Rat,Liver,Epithelial,,Normal,,MTT,TetrazoliumSalt,quantum_dots,100.0
CdTe,Gelatin_based,4.5,,,0.1,72.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,APO_BrdU_TUNEL,BrdUTP,quantum_dots,60.0
CdHgTe,None,7.0,,,100.0,24.0,PC3,Human,Prostate,Epithelial,Adult,cancer,male,Colonigenic-assay,CrystalViolet,quantum_dots,33.33
CdTe,None,3.1,,,0.02,24.0,P-tricornutum,Microalgae,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,75.0
CdSe,His_based,4.6,,,1.2,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,50.0
CdS,None,2.6,,,1.99,72.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0.0
CdSe,None,4.0,,,0.2,4.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTS,TetrazoliumSalt,quantum_dots,65.0
CdSe,None,5.4,,,0.1,36.0,MDCK,Dog,Kidney,Epithelial,Adult,Normal,female,ECIS,Impedance,quantum_dots,48.48
CdSe,None,5.5,,,1.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,100.0
CdSe,None,7.7,,,0.03,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,5.88
CdSe,None,4.6,,,0.02,48.0,primary,Cow,Eye,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,77.0
CdTe,None,3.7,,,0.11,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,Live/Dead,,quantum_dots,69.6
CdSeTe,None,4.3,,,0.08,48.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,30.0
CdSe,His_based,4.3,,,0.02,24.0,NHAC-Kn,Human,Knee,Chondrocytes,,Normal,,WST-1,TetrazoliumSalt,quantum_dots,101.0
CdTe,None,4.0,,,330.0,24.0,VERO,Monkey,Kidney,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,8.57
CdSe,None,3.8,,,0.0,48.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,53.25
CdSe,None,3.01,,,10.47,12.0,VERO,Monkey,Kidney,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,31.0
CdTe,Folic_acid_based,6.0,,,0.0,8.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,95.0
CdSe,None,9.0,,,0.0,4.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,90.3
CdSe,None,4.6,,,0.02,48.0,primary,Cow,Skin,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,137.0
CdTe,None,3.5,,,145.01,24.0,SPCA1,Human,Lung,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,26.0
CdSe,None,2.0,,,7.18,72.0,PBMC,Human,Blood,Lymphoblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,42.7
CdTe,nucleic_acids,3.85,,,2.4,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,40.0
CdSe,GlycyrrhizicAcid,4.0,,,2.48,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,50.0
CdSe,PULsin,4.0,,,0.01,24.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,MTS,TetrazoliumSalt,quantum_dots,50.0
CdSe,None,5.7,,,0.5,48.0,A549,Human,Lung,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,100.0
CdS,None,5.0,,,10.0,72.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,SRB,resazurin/sulforhodamine_B,quantum_dots,46.51
CdSe,None,2.2,,,0.73,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,FACS,fluorescent,quantum_dots,57.45
